# okuri-nasi entries:  reading <TAB> kanji1[,kanji2,...]
# everyday nouns, sa-hen stems, and common words. homophones are grouped.
# --- time / calendar ---
じかん	時間
じこく	時刻
じだい	時代
きょう	今日
あした	明日
あす	明日
きのう	昨日
あさって	明後日
おととい	一昨日
まいにち	毎日
まいあさ	毎朝
まいばん	毎晩
まいねん	毎年
ことし	今年
きょねん	去年
らいねん	来年
せんげつ	先月
こんげつ	今月
らいげつ	来月
せんしゅう	先週
こんしゅう	今週
らいしゅう	来週
あさ	朝
ひる	昼
よる	夜
ばん	晩
ゆうがた	夕方
しんや	深夜
しゅうまつ	週末
へいじつ	平日
きゅうじつ	休日
れんきゅう	連休
きせつ	季節
はる	春
なつ	夏
あき	秋,飽
ふゆ	冬
げつようび	月曜日
かようび	火曜日
すいようび	水曜日
もくようび	木曜日
きんようび	金曜日
どようび	土曜日
にちようび	日曜日
# --- people / family ---
かぞく	家族
りょうしん	両親
ちち	父
はは	母
あに	兄
あね	姉
おとうと	弟
いもうと	妹
むすこ	息子
むすめ	娘
おっと	夫
つま	妻
そふ	祖父
そぼ	祖母
まご	孫
おじ	叔父,伯父
おば	叔母,伯母
しんせき	親戚
ともだち	友達
なかま	仲間
どうりょう	同僚
せんぱい	先輩
こうはい	後輩
じょうし	上司
ぶか	部下
きゃく	客
こきゃく	顧客
にんげん	人間
おとな	大人
こども	子供
だんせい	男性
じょせい	女性
がくせい	学生
せんせい	先生
いしゃ	医者
かんじゃ	患者
けいさつ	警察
# --- body ---
あたま	頭
かお	顔
め	目,芽
はな	鼻,花,鼻
みみ	耳
くち	口
は	歯,葉,刃
した	舌,下
のど	喉
くび	首
かた	肩,型,肩
むね	胸
はら	腹
せなか	背中
うで	腕
て	手
ゆび	指
あし	足,脚
ひざ	膝
こし	腰
ほね	骨
ちから	力
こころ	心
# --- nature ---
そら	空
くも	雲
あめ	雨,飴
ゆき	雪
かぜ	風,風邪
かみなり	雷
たいよう	太陽
つき	月
ほし	星
うみ	海
やま	山
かわ	川,河
みずうみ	湖
もり	森
はやし	林
き	木,気,期,機
くさ	草
いし	石
つち	土
すな	砂
ひ	火,日,灯
みず	水
こおり	氷
どうぶつ	動物
しょくぶつ	植物
とり	鳥
さかな	魚
むし	虫
はな	花
# --- food ---
たべもの	食べ物
のみもの	飲み物
ごはん	御飯
あさごはん	朝御飯
ひるごはん	昼御飯
ばんごはん	晩御飯
めん	麺
にく	肉
やさい	野菜
くだもの	果物
たまご	卵
ぎゅうにゅう	牛乳
みそ	味噌
しお	塩
さとう	砂糖
しょうゆ	醤油
あぶら	油,脂
ちゃ	茶
さけ	酒,鮭
りょうり	料理
あじ	味,鯵
# --- places ---
いえ	家
うち	家,内
へや	部屋
だいどころ	台所
まど	窓
とびら	扉
かべ	壁
ゆか	床
てんじょう	天井
にわ	庭
みせ	店
がっこう	学校
びょういん	病院
えき	駅
くうこう	空港
こうえん	公園
としょかん	図書館
びじゅつかん	美術館
えいがかん	映画館
ぎんこう	銀行
ゆうびんきょく	郵便局
やくしょ	役所
かいしゃ	会社
こうじょう	工場
みなと	港
まち	町,街
むら	村
くに	国
せかい	世界
ちきゅう	地球
とし	都市,年
けん	県,件,券,権
し	市,死,詩,師,四,士
# --- work / study / tech ---
しごと	仕事
さぎょう	作業
かいぎ	会議
うちあわせ	打ち合わせ
けいかく	計画
もくひょう	目標
けっか	結果
もんだい	問題
かいけつ	解決
ほうほう	方法
りゆう	理由
げんいん	原因
えいきょう	影響
かんけい	関係
じょうほう	情報
しりょう	資料
しょるい	書類
ほうこく	報告
れんらく	連絡
そうだん	相談
せつめい	説明
かくにん	確認
けんとう	検討
はんだん	判断
けってい	決定
せきにん	責任
やくわり	役割
のうりょく	能力
けいけん	経験
ちしき	知識
ぎじゅつ	技術
けんきゅう	研究
じっけん	実験
かいはつ	開発
せっけい	設計
せいさん	生産,精算,清算
ひんしつ	品質
こうじ	工事
きかい	機械,機会
どうぐ	道具
ざいりょう	材料
せいひん	製品
しょうひん	商品
かかく	価格
ねだん	値段
きんがく	金額
よさん	予算
ひよう	費用
りえき	利益
そんしつ	損失
けいざい	経済
きぎょう	企業
さんぎょう	産業
のうぎょう	農業
しょうぎょう	商業
# --- computer / internet ---
でんわ	電話
でんし	電子
でんき	電気,電機
きかい	機械
ぱそこん	パソコン
がめん	画面
がぞう	画像
おんせい	音声
どうが	動画
もじ	文字
すうじ	数字
けいさん	計算
きろく	記録
ほぞん	保存
さくじょ	削除
へんしゅう	編集
にゅうりょく	入力
しゅつりょく	出力
けんさく	検索
せってい	設定
かんきょう	環境
つうしん	通信
せつぞく	接続
# --- abstract common ---
いみ	意味
ないよう	内容
ぶぶん	部分
ぜんたい	全体
きほん	基本
おうよう	応用
とくちょう	特徴
きぼ	規模
すうりょう	数量
かず	数
りょう	量
おおきさ	大きさ
ながさ	長さ
たかさ	高さ
はやさ	速さ
ひろさ	広さ
おもさ	重さ
きょり	距離
ばしょ	場所
いち	位置,一
ほうこう	方向
じゅんばん	順番
だんかい	段階
ていど	程度
じょうたい	状態
じょうきょう	状況
へんか	変化
はってん	発展
しんぽ	進歩
むかし	昔
いま	今
みらい	未来
かこ	過去
げんざい	現在
