# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
あい	愛,藍
あいあい	藹々
あいあいがさ	相合い傘
あいいろ	藍色
あいかぎ	合鍵
あいかた	相方
あいかわ	哀川
あいきどう	合気道
あいぎ	間着
あいけん	愛犬
あいこ	愛顧
あいこう	愛甲
あいこく	愛国
あいこくしん	愛国心
あいさつ	挨拶
あいざわ	相澤
あいしゅう	哀愁
あいしょう	相性,愛称,合性
あいじょう	愛情
あいじん	愛人
あいず	合図
あいせき	相席
あいそ	愛想
あいぞう	愛憎
あいだがら	間柄
あいち	愛知
あいちゃく	愛着
あいつき	藍月
あいづ	会津
あいづち	相槌
あいづわかまつ	会津若松
あいて	相手
あいてがた	相手方
あいどく	愛読
あいのさと	あいの里
あいのり	相乗り
あいはら	相原
あいびき	逢引
あいぶ	愛撫
あいべや	相部屋
あいぼう	相棒
あいま	合間
あいまい	曖昧
あうん	阿吽
あえん	亜鉛
あお	青
あおい	葵
あおいし	青石
あおいろ	青色
あおうめ	青梅
あおき	青木
あおしんごう	青信号
あおじ	青地
あおじそ	青じそ
あおぞら	青空
あおと	青砥
あおぬま	青沼
あおのり	青海苔
あおば	青葉
あおばだい	青葉台
あおみ	青海,青み
あおむけ	仰向け
あおむし	青虫
あおもの	青物
あおもり	青森
あおやま	青山
あおり	煽り
あか	赤,垢
あかい	赤井
あかいかわ	赤井川
あかいがわ	赤井川
あかいろ	赤色
あかおか	赤岡
あかがわ	赤川
あかげ	赤毛
あかさか	赤坂
あかし	証
あかしかいきょうおおはし	明石海峡大橋
あかしんごう	赤信号
あかじ	赤字
あかちゃん	赤ちゃん
あかつき	暁
あかどまり	赤泊
あかね	茜
あかねはま	茜浜
あかはね	赤羽
あかば	赤羽
あかほし	赤星
あかま	赤間
あかみ	赤み,赤身
あかみそ	赤味噌
あかもん	赤門
あかり	明かり,灯り,灯,明り
あかわいん	赤ワイン
あかんぼう	赤ん坊
あがり	上がり
あき	秋,空き,飽き
あきお	明雄
あきかぜ	秋風
あきかわ	秋川
あきかん	空き缶
あきぐち	秋口
あきこ	晶子,晃子,亜紀子,アキ子,あき子
あきしののみや	秋篠宮
あきた	秋田
あきたぎんこう	秋田銀行
あきたくうこう	秋田空港
あきち	空き地
あきづき	秋月
あきは	秋葉
あきはばら	秋葉原
あきば	秋葉
あきばじんじゃ	秋葉神社
あきひろ	明広
あきふゆ	秋冬
あきもの	秋物
あきや	空家
あきやま	秋山,穐山
あきら	明,章,亮,啓,照,昭,暁,彰,全
あきらか	明らか
あきれすけん	アキレス腱
あく	悪
あくい	悪意
あくしつ	悪質
あくしゅ	握手
あくしゅう	悪臭
あくじゅんかん	悪循環
あくせい	悪性
あくせんくとう	悪戦苦闘
あくたい	悪態
あくだま	悪玉
あくにん	悪人
あくま	悪魔
あくむ	悪夢
あくやく	悪役
あくよう	悪用
あくりょう	悪霊
あけ	明け
あけっぱなし	開けっ放し,開けっぱなし
あけてら	明寺
あけぼの	曙
あけぼのばし	曙橋
あけみ	朱美
あけわたし	明け渡し
あげ	上げ,揚げ
あげあし	揚げ足
あげさげ	上げ下げ
あげたて	揚げたて
あげだま	揚げ玉
あげぶた	上蓋
あげもの	揚げ物
あご	顎
あさ	麻,朝
あさい	浅井
あさいち	朝市
あさおき	朝起き
あさか	朝香,安積
あさがえり	朝帰り
あさがお	朝顔
あさがや	阿佐ヶ谷
あさがわ	浅川
あさぎぬ	麻衣
あさぎり	朝霧
あさくさ	浅草
あさくら	朝倉
あさざと	麻里
あさだち	朝立ち
あさつゆ	朝露
あさづけ	浅漬
あさぬま	浅沼
あさね	朝寝
あさねぼう	朝寝坊
あさの	浅野
あさひ	旭,朝日
あさひかせい	旭化成
あさひかわ	旭川
あさひかわいかだいがく	旭川医科大学
あさひがおか	旭が丘
あさひしんぶん	朝日新聞
あさひや	旭屋
あさぶろ	朝風呂
あさま	浅間
あさみ	朝美,麻美,浅見
あさめし	朝飯
あさやけ	朝焼け
あさゆう	朝夕
あさり	朝里
あさりとうげ	朝里峠
あされん	朝練
あざぶじゅうばん	麻布十番
あざやか	鮮やか
あし	足,脚
あしあと	足跡
あしおと	足音
あしかが	足利
あしかけ	足掛け
あしかせ	足枷
あしがかり	足がかり
あしがる	足軽
あしくび	足首
あしこし	足腰
あしざき	芦崎
あしば	足場
あしばや	足早
あしぶみ	足踏み
あしべつ	厚別
あしもと	足元,足下
あしゆ	足湯
あじ	味,鯵
あじいちもんめ	味いちもんめ
あじけ	味気
あじつけ	味付け
あじのもと	味の素
あじみ	味見
あじわい	味わい
あすか	明香
あすみ	明日美
あずき	小豆
あずさ	梓
あずさがわ	梓川
あずまむら	東村
あずまや	東屋
あずみ	安曇
あせ	汗
あせだく	汗だく
あせり	焦り
あぜん	唖然
あそう	麻生
あそび	遊び
あたい	価
あたたか	温か,暖か
あたたかみ	暖かみ,温かみ
あたま	頭
あたまうち	頭打ち
あたまきん	頭金
あたみ	熱海
あたり	辺,辺り,当たり
あたりまえ	当たり前
あだち	安達,足立
あだな	渾名,あだ名
あっか	悪化
あっかん	圧巻,悪感
あっしゅく	圧縮
あっしょう	圧勝
あっせん	斡旋
あっというま	あっという間
あっとう	圧倒
あっとうてき	圧倒的
あっぱく	圧迫
あつ	厚
あつかい	扱い
あつかん	熱燗
あつがみ	厚紙
あつぎ	厚木,厚着
あつけし	厚岸
あつげしょう	厚化粧
あつこ	敦子
あつし	厚,温,淳,毅,篤史,篤,敦
あつぞこ	厚底
あつた	厚田
あつで	厚手
あつまり	集まり,集り
あつみ	厚み,渥美
あつめ	厚め,集め
あつりょく	圧力
あつれき	軋轢
あづけ	預け
あづけいれ	預け入れ
あて	宛,当て
あてさき	宛先,あて先
あてな	宛名
あと	跡,痕
あとあじ	後味
あとかたづけ	後片付け
あとがき	後書き
あとがま	後がま
あとさき	後先
あとしまつ	後始末
あとしょり	後処理
あとち	跡地
あとばらい	後払い
あとまわし	後回し
あともどり	後戻り
あとやく	後厄
あとやま	後山
あな	穴,孔
あなあけ	穴あけ
あなうめ	穴埋め
あなご	穴子
あなば	穴場
あなもり	穴守
あに	兄
あにき	兄貴
あね	姉
あねご	姉御
あのう	安濃
あばしり	網走
あばれ	暴れ
あびきょうかん	阿鼻叫喚
あびこ	我孫子
あぶた	虻田
あぶら	油,脂,膏
あぶらあげ	油揚げ
あぶらみ	脂身
あべ	阿部,安倍
あほ	阿保
あま	尼
あまがさ	天笠
あまがっぱ	雨合羽
あまぎ	天城
あまくだり	天下り
あまくち	甘口
あまぐ	雨具
あまぐも	雨雲
あまぐり	甘栗
あまごぜんみさき	尼御前岬
あまざけ	甘酒
あまざらし	雨ざらし
あましょく	甘食
あまず	甘酢
